modelo,accuracy,precision,recall,f1,roc_auc,cv_f1_media,cv_f1_std,cv_roc_auc_media,cv_roc_auc_std
HistGradientBoosting,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8135046113306983,0.7589181937794176,0.033043961449374964,0.8767257607422184,0.019222671113435747
Bosque aleatorio,0.8100558659217877,0.8301886792452831,0.6376811594202898,0.7213114754098361,0.8460474308300396,0.7374261391251683,0.023516939045505465,0.8709661135915054,0.01855749267735532
Regresión logística,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.844532279314888,0.7260369964887882,0.034081970501403255,0.8554292533485324,0.021292719185231145
Árbol de decisión,0.7597765363128491,0.7321428571428571,0.5942028985507246,0.656,0.7921607378129119,0.7214330282577035,0.012912606262455351,0.8425283662117519,0.023457948611643718
K vecinos,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8592226613965744,0.7200294419723761,0.02606393443780687,0.8495687544198516,0.025493033008310996
